DBA,BORO,BUILDING,STREET,ZIPCODE,ADDRESS,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE
SUBWAY CAFE,MANHATTAN,351,WEST 42 STREET,10036,"351 WEST 42 STREET, MANHATTAN, NY 10036",Sandwiches,7/13/2018,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,7/13/2018
MILK BAR CHELSEA,MANHATTAN,220,8TH AVE,10011,"220 8TH AVE, MANHATTAN, NY 10011","Ice Cream, Gelato, Yogurt, Ices",8/17/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,8/17/2016
THIS IS GYRO,MANHATTAN,178A,CHURCH ST,10013,"178A CHURCH ST, MANHATTAN, NY 10013",Mediterranean,2/21/2019,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,2/21/2019
PYE BOAT NOODLE,MANHATTAN,1711,2 AVENUE,10128,"1711 2 AVENUE, MANHATTAN, NY 10128",Thai,9/19/2017,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,B,9/19/2017
ABITINO'S PIZZA,MANHATTAN,733,2 AVENUE,10016,"733 2 AVENUE, MANHATTAN, NY 10016",Pizza,6/5/2017,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,53,C,6/5/2017
CAFE 101 16TH FLOOR CAFETERIA,MANHATTAN,101,BARCLAY STREET,10007,"101 BARCLAY STREET, MANHATTAN, NY 10007",American,9/1/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,9/1/2017
CAFE FRIDA,MANHATTAN,368,COLUMBUS AVENUE,10024,"368 COLUMBUS AVENUE, MANHATTAN, NY 10024",Mexican,4/16/2018,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,21,B,4/16/2018
MACE,MANHATTAN,649,EAST    9 STREET,10009,"649 EAST    9 STREET, MANHATTAN, NY 10009",American,6/19/2015,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,6/19/2015
NEW CHINATOWN RESTAURANT,MANHATTAN,13-Nov,AVENUE D,10009,"43782 AVENUE D, MANHATTAN, NY 10009",Chinese,7/19/2016,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,B,7/19/2016
STAMINA GRILL & JUICE BAR,MANHATTAN,80,NASSAU STREET,10038,"80 NASSAU STREET, MANHATTAN, NY 10038",American,3/1/2019,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,3/1/2019
MULBERRY & VINE,MANHATTAN,155,E 44TH ST,10017,"155 E 44TH ST, MANHATTAN, NY 10017",American,7/7/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7,A,7/7/2017
SAFARI,MANHATTAN,219,W 116TH ST,10026,"219 W 116TH ST, MANHATTAN, NY 10026",African,8/30/2016,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,11,A,8/30/2016
SAVANN RESTAURANT,MANHATTAN,2280,FREDERICK DOUGLAS BLVD,10027,"2280 FREDERICK DOUGLAS BLVD, MANHATTAN, NY 10027",Mediterranean,6/14/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,6/14/2016
QUALITY MEATS,MANHATTAN,57,WEST   58 STREET,10019,"57 WEST   58 STREET, MANHATTAN, NY 10019",Steak,10/12/2016,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,10/12/2016
GREAT N.Y. NOODLETOWN,MANHATTAN,28,BOWERY,10013,"28 BOWERY, MANHATTAN, NY 10013",Chinese,9/12/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17,B,9/12/2018
AQUA SMOOTHIE CAFE,MANHATTAN,1741,AMSTERDAM AVE,10031,"1741 AMSTERDAM AVE, MANHATTAN, NY 10031","Juice, Smoothies, Fruit Salads",9/27/2018,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9,A,9/27/2018
CHELSEA DELI,MANHATTAN,301,10 AVENUE,10001,"301 10 AVENUE, MANHATTAN, NY 10001",Delicatessen,11/16/2016,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,43,C,11/16/2016
CORT THEATRE,MANHATTAN,138,WEST   48 STREET,10105,"138 WEST   48 STREET, MANHATTAN, NY 10105",American,10/25/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,10/25/2018
RUDY'S BAR & Grill,MANHATTAN,627,9 AVENUE,10036,"627 9 AVENUE, MANHATTAN, NY 10036",American,8/15/2017,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/15/2017
ROKI LE IZAKAYA,MANHATTAN,12,W 21ST ST,10010,"12 W 21ST ST, MANHATTAN, NY 10010",Japanese,4/11/2017,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,4/11/2017
NEW RANCHITO,MANHATTAN,924,AMSTERDAM AVENUE,10025,"924 AMSTERDAM AVENUE, MANHATTAN, NY 10025","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/1/2018,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,29,C,2/1/2018
SENYA,MANHATTAN,109,1ST AVE,10003,"109 1ST AVE, MANHATTAN, NY 10003",Japanese,2/20/2018,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,8,A,2/20/2018
THE MEATBALL SHOP,MANHATTAN,1462,2ND AVENUE,10075,"1462 2ND AVENUE, MANHATTAN, NY 10075",American,1/27/2016,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,1/27/2016
MCDONALD'S,MANHATTAN,4259,BROADWAY,10033,"4259 BROADWAY, MANHATTAN, NY 10033",Hamburgers,3/8/2019,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,13,A,3/8/2019
NICE MATIN,MANHATTAN,201,WEST   79 STREET,10024,"201 WEST   79 STREET, MANHATTAN, NY 10024",American,11/9/2017,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,11/9/2017
BRINE,MANHATTAN,106,8TH AVE,10011,"106 8TH AVE, MANHATTAN, NY 10011",Chicken,2/20/2019,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,11,A,2/20/2019
LENNY'S BAGELS,MANHATTAN,2601,BROADWAY,10025,"2601 BROADWAY, MANHATTAN, NY 10025",Bagels/Pretzels,11/15/2016,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,11/15/2016
LIL FRANKIE'S PIZZA,MANHATTAN,19,1 AVENUE,10003,"19 1 AVENUE, MANHATTAN, NY 10003",Italian,12/12/2016,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,12/12/2016
MULBERRY & VINE,MANHATTAN,644,LEXINGTON AVE,10022,"644 LEXINGTON AVE, MANHATTAN, NY 10022",American,11/16/2018,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9,A,11/16/2018
